question1,question2,is_duplicate
г« ен Ў—нё… “н  «ббж“ б Ўжнб «б‘Џ—њ,янЁ √Џгб Ќбн» «ббж“њ,0
г« ен г”«Ќ… √я»— ѕжб… Џ—»н… ћџ—«Ён«рњ,√нд  ёЏ «бћ“«∆—њ,0
еб ед«я «дж«Џ ббЁж«∆ѕ њ,г« ен «бЁж«∆ѕ њ,0
г м ’дЏ √жб ће«“  Ќяг Џд »Џѕњ,г м «» ѕ√  ’днЏ √ће“… «б Ќяг Џд »Џѕњ,1
г« ен ќбЎ… «бд‘« жг«Ѕ «бж—ѕ б Ё нЌ «бжћењ,г« ен ќбЎ… «бд‘«њ,0
гд д «∆ћ «б Ќбнб «бг«бн «бѕ«ќбн…њ,г«–« дё’ѕ »«б Ќбнб «бг«бн њ,0
яг  »бџ г”«Ќ… гѕџ‘ё—њ,г« Џѕѕ ”я«д гѕџ‘ё—њ,0
»г  гн“ ‘Џ— Џ»нѕ »д «б√»—’њ,»√н ё»нб… я«д нЏн‘ Џ»нѕ »д «б√»—’,0
г« ен «Ћ— «бЏгб Џбм «бгћ гЏњ,г« «егн… «бЏгб »«бд”»… ббЁ—ѕ њ,0
г« ќ’«∆’ «бёнг њ,гд ггн“«  «бёнг њ,1
гд Ў—ё  Ќ÷н— «бгг»«— «бгЌ‘нњ,гд Ў—ё  Ќ÷н— «бѕћ«ћ «бгЌ‘нњ,0
г« ен √я»— ѕжб ё«—… √ж—ж»«њ,яг Џѕѕ ”я«д ё«—… √ж—ж»«њ,0
яг н»џ Џѕѕ «б”я«д Ён «бггбя… «бг Ќѕ…њ,яг Џѕѕ ”я«д √жя—«дн«њ,0
яг н’б «б Џѕ«ѕ «б”я«дн Ён бн ж«дн«њ,яг н»бџ  Џѕ«ѕ бнќ д‘ «нд «б”я«днњ,0
еб ед«я «дж«Џ ббяЌ…њ,г« ен «дж«Џ «бЏЎ«”њ,0
гд Ў—ё  Ќ÷н—  яня »«бЁж«яењ,гд Ў—ё  Ќ÷н— г—»м «бЁж«яењ,0
г« ен «бд”»… «б”джн… б ”«ёЎ «б√гЎ«— Ён бн»н«њ,г« гд«ќ бн»н« «бЏ«гњ,0
янЁ «Ќ÷—  «беж  яняњ,гд Ў—ё  Ќ÷н—  «беж  яняњ,1
янЁ «Ќ÷—  яня… «б‘жяжб« … ж«бгж“њ,гд Ў—ё  Ќ÷н—  яня… «б‘жяжб« … ж«бгж“њ,1
янЁ «Ќ÷—  яня… «бћ»дњ,гд Ў—ё  Ќ÷н—  яня… «бћ»дњ,1
г« ен д”»… «бг ЌѕЋнд ббџ… «бгдѕ—ндн… Ён √дЌ«Ѕ «бЏ«бгњ,г« ен бџ… «б’нд «б—”гн…њ,0
√нд  ёЏ «б» —«Ѕњ,Ён √н Џ«г  г «я ‘«Ё гѕнд… г« ‘ж »н ‘жњ,0
г м ж’б «бг” я‘Ёжд «б√ж—ж»нжд ≈бм ћ“н—… Ёнћнњ,г« «бЏ«г «б–н ж’бж« Ёне «бг” я‘Ёжд «б√ж—»нжд бћ“н—… Ёнћнњ,1
яг н»бџ Џѕѕ ”я«д жб«н… ћ“н—… «б√гн— ≈ѕж«—ѕњ,г« Џѕѕ ”я«д жб«н… ”«”я« ‘ж«дњ,0
г« ен «бгћбш«  њ,г« ен √егн… «бгћб«  њ,0
г« Ў—нё…  Ќ÷н— «бяб«жн «бг‘жнш… њ,гд Ў—ё  Ќ÷н— «бяб«жн «бг‘жнш…њ,1
Ён √н Џ«г  г «я ‘«Ё «б”ж«Ќб «бџ—»нш… ж«б‘г«бнш… Ён ё«—… √” —«бн«њ,еб нжћѕ √де«— Ён √” —«бн«њ,0
янЁ √Ќгшб Ёнѕнж гд «бнж нж»њ,г« ен Ў—нё…  Ќгнб Ёнѕнж гд «бнж нж»њ,1
»г«–« ях—” е—г  ‘н ‘д ёѕнг«рњ,»г«–« ях—” гЏ»ѕ  ‘н ‘д ёѕнг«рњ,1
г« Ў—нё…  Ќ÷н— «б»ж—я »«б”»«дќ ж«бћ»д…њ,янЁ «Ќ÷— «б»ж—я »«б”»«дќ ж«бћ»д…њ,1
еб ед«я ЁЌж’«  бгЏ—Ё… ћд” «бћдндњ,г« ен «бЁЌж’«  «бЎ»н… бгЏ—Ё… ћд” «бћдндњ,1
янЁ нЏ““ гЁежг «бжЎд ббћгнЏ «б«д г«Ѕ бѕм «бгж«Ўдндњ,г«  Џ—нЁ «б«д г«Ѕњ,0
г« гЎбЏ ё’нѕ… «бЌ“д бд“«— ё»«днњ,г« ен √‘е— ё’«∆ѕ «бЌ» «бЌ“ндњ,0
г« ен √я»— гѕнд… Ён «бгџ—» «бЏ—»нњ,г« «”г «бгџ—» ёѕнг«рњ,0
янЁ «Ќ÷— ”жн”—жб »«бг—»м жёЎЏ «бЁж«яењ,гд Ў—ё  Ќ÷н— ”жн”—жб њ,0
г« Џѕѕ «бЌћ—«  Ён ёб» «б÷ЁѕЏњ,ггш   √бЁ Ќћ—«  ёб» «б÷ЁѕЏњ,0
гд Џж«∆ё «бќЎ«» «б≈‘е«—н њ,г« еж  «бќЎ«» «б≈‘е«—нњ,0
г« —г“ «бѕжб«— њ,г« ен ёнг… «бѕжб«—њ,0
яг ‘ќ’   ”Џ Џћб… бдѕдњ,г« «”г √ег г ЌЁ гќ’’ бб√ЎЁ«б Ён «бЏ«бгњ,0
г« «б”»» Ён  Ё÷нб «б «»б  Џд џн—е гд «б«ће“…њ,г« еж «б «»б њ,0
г«  Џ—нЁ «бёнг «бћг«бн…њ,гд ќ’«∆’ «бёнг њ,0
г« ен Џ«’г… «б√—ѕдњ,г« «”г Џ«’г… «б√—ѕд «б—”гн…њ,1
г«–« дё’ѕ »«бЌ—н… њ,г« ен «бЌ—н… «бгжћ»…њ,0
г« ен Ёж«∆ѕ «б»н÷ ббжћењ,г« ен Ёж«∆ѕ «б»н÷ бб‘Џ—њ,0
янЁ «”ЏЁ «бЁ«ёѕ Џд «бжЏнњ,янЁ «”ЏЁ «б‘ќ’ Ён џн»ж»…њ,1
бг«–«  ќ бЁ д”»… «б»—ж нд гд б«Џ» яг«б √ћ”«г ≈бм ¬ќ—њ,бг«–« нбћ√ б«Џ» яг«б «б√ћ”«г бб»—ж нд «б’д«Џнњ,0
г« ”»» ’ѕж— ’ж  «бдёдё… бѕм «б÷ЁѕЏњ,г« «б«ќ б«Ё »нд ёб» «б÷ЁѕЏ ж«б≈д”«дњ,0
г« Ќяг ’н«г нжг «бћгЏ…њ,г« Ќяг ’н«г «бћгЏ…њ,1
г« ѕн«д… »—нЎ«дн« «б—”гн…њ,г« ен бџ… »—нЎ«дн« «бгЏ —Ё Ёне«њ,0
гд Ў—ё  Ќ÷н— ’ндн… «бЌб»… гЏ «б”г”гњ,гд Ў—ё  Ќ÷н—   «бЌб»…њ,0
г« Ў—нё…  Ќ÷н—  Ўен «бќ—‘жЁ њ,янЁ «Ќ÷—  Ўен «бќ—‘жЁњ,1
янЁ «Ќ÷— «б‘н‘ Ў«жжё ѕжд «” ќѕ«г √”н«ќњ,гд Ў—ё  Ќ÷н— «б‘н‘ Ў«жжёњ,0
яг ен г”«Ќ… я«Ё… гд«Ўё ё«—… √жён«дж”н«њ,г« «бѕжб «б н «” Џг—  ё«—… √жён«дж”н«њ,0
янЁ «Ќ÷— ”бЎ… «б‘гдѕ— ж«б—гш«дњ,гд Ў—ё  Ќ÷н— ”бЎ… «б—гш«дњ,0
янЁ «Ќ÷— ’ѕж— «бѕћ«ћ «бгЌ‘н…њ,гд Ў—ё  Ќ÷н— ’ѕж— «бѕћ«ћ «бгЌ‘н…њ,1
г« ен «ё —«Ќ«  ё»б «б»ѕ√ »«бг‘—жЏ њ,г« еж «бг‘—жЏњ,0
г« Ў—нё…  Ќ÷н— яЁ … «б√—д»  њ,гд Ў—ё  Ќ÷н— √—д» г”бжёњ,0
гд Ў—ё  Ќ÷н—  √÷д… я»«»њ,гд Ў—ё  Ќ÷н— «бя»«»њ,0
яг »бџ ’«ѕ—«  «б’нд Џ«г 2015њ,г« еж д« ћ «б’«ѕ—«  бб’нд Ён Џ«г 2015њ,1
янЁ няжд ‘яб √»ж –дн»…њ,янЁ н џ–м √»ж –дн»…њ,0
янЁ «Ќ÷— “джѕ «б”  Џбм «бЎ—нё… «бб»д«дн… њ,г« Ў—нё…  Ќ÷н— “джѕ «б”  њ,0
г« ен Џ«’г…  —ян«њ,г« ен Ћ«дн √я»— гѕнд… Ён «бЏ«бг гд ЌнЋ «б”я«дњ,0
г м √д‘∆  гѕнд… √»жћ«њ,гд «я ‘Ё гѕнд… √»жћ«њ,0
√нд  ёЏ днћн—н«њ,Ён √н ё«—…  жћѕ днћн—н«њ,1
г« Ў—нё…  Ќ÷н— «б‘н‘ Ў«жжё ѕжд «” ќѕ«г √”н«ќњ,гд Ў—ё  Ќ÷н— «б‘н‘ Ў«жжё ѕжд «” ќѕ«г √”н«ќњ,1
г« «б”»» Ён  Ќжб —ж«н«  гЌЁжў б√Џг«б ”дг«∆н…њ,г« ен √ег —ж«н… бдћн» гЌЁжўњ,0
янЁн… я «»… ‘яжм ≈ѕ«—н…њ,Ў—ё я «»… ‘яжм «ѕ«—н…њ,1
г«–« дё’ѕ »«б яджбжћн« њ,гд «нћ«»н«  «б яджбжћн« њ,0
гд ’Ё«  гѕн— «бг»нЏ«  њ,г«–« дё’ѕ »гѕн— «бг»нЏ«  њ,0
янЁ нгяд «” Џг«б «б»ёѕжд”њ,еб д»«  «б»ёѕжд” Ћд«∆н «бЌжбњ,0
гд «бЏ«бг «б–н «ќ —Џ ће«“ «б Ќяг Џд »Џѕњ,гд еж гќ —Џ ће«“ «б Ќяг Џд »Џѕњ,1
янЁ √Ћ—  «бгќ —Џ«  Ён гћ«б «б’д«Џ…њ,янЁ «дЏя”  «Ћн— «бгќ —Џ«  Џбм гћ«б «б’д«Џ…њ,1
яг Џѕѕ «бѕжб… Ён ё«—… √ж—ж»«њ,яг ѕжб… нжћѕ Ён ё«—… ¬”н«њ,0
гд Ў—ё  Ќ÷н—  ё—Џ «бЏ”б гЏ «б»‘«гнбњ,гд Ў—ё  Ќ÷н— «б»«‘гнбњ,0
яг  ’б «бг”«Ќ… «б≈ћг«бн… бб»— џ«бњ,яг  ’б «бг”«Ќ… «б≈ћг«бн… б»жбдѕ«њ,0
г« еж «бёжбжд «бЏ’»нњ,г« ен г б«“г… «бёжбжд «бЏ’»нњ,1
янЁ н Ќжб √»ж –дн»… ≈бм ÷ЁѕЏњ,г м н»ѕ√ ‘яб «б‘—џжЁ »«б џн—њ,1
г« Ў—нё…  Ќ÷н— «б»—џб »«бћ»д… ж«бг‘—жгњ,гд Ў—ё  Ќ÷н— «б»—џб њ,0
яг Џѕѕ жб«н«  √г—ня«њ,г« «бЏгб… «бн   ” ќѕге« «бжб«н«  «бг Ќѕ…њ,0
г« ќЎж«  ’д«Џ… «б«”гд  њ,г« еж «б«”гд  њ,0
янЁ «Ќ÷— яня… ’ЌнЌ… њ,",гд Ў—ё  Ќ÷н— яня…њ,",0
гд «бё«—… «б н  д ‘— Ёне« «бћ»«б »яЋ—…њ,г« ен √я»— ё«—… »«бЏ«бгњ,0
гд Ў—ё  Ќ÷н— √—д» г”бжёњ,гд Ў—ё  Ќ÷н— ѕћ«ћ г”бжёњ,0
г« ен √егн… «бћѕжм «б ёдн…њ,г« ен «бћѕжм «б ёдн…њ,0
г« Ў—нё…  Ќ÷н— Ќ‘ж… «б жд… »«бЁЎ—њ,гд Ў—ё  Ќ÷н— Ќ‘ж… «б жд… »«бЁЎ—њ,1
г«–« нЌѕ «бггбя… «б√—ѕдн… гд «бће… «б‘г«бн…њ,г«–« нЌѕ «б«—ѕд гд «бџ—»њ,0
янЁ «Ќ÷— «б”»«дќ гЏ «б«—“ ж «ббЌг… «бгЁ—жг…њ,гд Ў—ё  Ќ÷н— «б”»«дќ гЏ «б«—“ ж «ббЌг… «бгЁ—жг…њ,1
г« еж «бг’—Ё њ,г« ен Ё«∆ѕ… «б»дя њ,0
г« ен Џ«’г… ”жн”—«њ,г« «”г Џ«’г… ”жн”—«њ,1
ян √” Џнѕ дў«г  ‘џнб ће«“н «б√дѕ—жнѕњ,г« ен ггн“«  дў«г «б√дѕ—жнѕњ,0
бг«–«   џн— Ќ—я… Џндн «б÷ЁѕЏ Џдѕг« н√ябњ,г« ”»»  џн— ‘яб Џндн «б÷ЁѕЏ Џдѕг« нг÷џ ЎЏ«гењ,1
г« ен ‘—жЎ я «»… «б—ш”«∆б «б≈ѕ«—нш…њ,г« ен ‘—жЎ я «»… —”«б…  «ѕ«—н…њ,1
г« ен Ў—нё…  Ќ÷н— я«”«ѕн« «бѕћ«ћњ,гд Ў—ё  Ќ÷н— «бѕћ«ћњ,0
гд Ў—ё  Ќ÷н— ж—ё «бЏд»њ,"гд Ў—ё  Ќ÷н— ж—ё «бЏд» »«бѕћ«ћњ""",0
янЁ «Ќ÷— ’б’… «б‘жяжб« … б џбнЁ «бяня ж«бЁж«яе њ,гд Ў—ё  Ќ÷н— ’б’… «б‘жяжб« … б џбнЁ «бяня ж«бЁж«яе њ,1
г« еж  ян” «бг»н÷њ,г«  Џ—нЁ  ян” «бг»н÷њ,1
г«  Џ—нЁ «бёнг «бдў—н…њ,гд ќ’«∆’ «бёнг њ,0
г« ен «бг”«Ќ… «бћџ—«Ён… бћ“н—… я«ѕ«Ёжњ,яг  »бџ г”«Ќ… ћ“н—… я«ѕ«Ёж «бћџ—«Ён…њ,1
г« Ў—нё…  Ќ÷н— ’б’… «б шџгн” гЏ «бќ—‘жЁ ж«б”ш»«дќ њ,янЁ «Ќ÷— ’б’… «б шџгн” гЏ «бќ—‘жЁ ж«б”ш»«дќњ,1
г« «бгё’жѕ »џ”нб «б«гж«б њ,г«–« дЏдн »џ”нб «б«гж«б њ,1
еб ед«я ‘—жЎ б«д‘«Ѕ ћгЏн… ќн—н… њ,гд ‘—жЎ «д‘«Ѕ ћгЏн… ќн—н… њ,1
гд ж”«∆б «бќЎ«» «б≈‘е«—н њ,г« Ў—ё «бќЎ«» «б≈‘е«—нњ,1
янЁ н г Ў—ё џ—” гЁежг «б«д г«Ѕ жЌ» «бжЎд Ён «б√ћн«бњ,янёЁ  хџ—” ‘ћ—… «б“н ждњ,0
г« ен «дж«Џ «б‘Џ— «бћ«ебнњ,г« ен «џ—«÷ «б‘Џ—њ,0
гд ќ’«∆’ гѕн— «бг»нЏ«  њ,г«–« дё’ѕ »гѕн— «бг»нЏ«  њ,0
г« ен ё’нѕ… ”√б  «бѕ«—  ќ»—днњ,г« ен √»н«  ё’нѕ… ”√б  «бѕ«—  ќ»—днњ,1
яг  »бџ г”«Ќ… ћ“н—… √дћж«д «бгжћжѕ… Ён ћ“— «бёг—њ,г« ен «бг”«Ќ… «бћџ—«Ён… бћ“н—… √дћж«дњ,1
г« Ў—нё…  Ќ÷н— яня «бяж» »«б‘жяжб« … Ён «бгня—жнЁ њ,гд Ў—ё  Ќ÷н— яня   «б‘жяжб« … њ,0
г« г’ѕ— Џ”б «б”ѕ—њ,г« ен √дж«Џ «бЏ”бњ,0
»г«–« Џ—Ё  «бгџ—» ёѕнг«рњ,г«–« я«д   ”гм «бгџ—» ёѕнг«рњ,1
г м «””  ‘—я… ћжћб њ,г« ен ‘—я… ћжћб њ,0
г« ен «ббџ… «б—”гн… ббжб«н«  «бг Ќѕ… «б√г—нян…њ,≈бм яг д”г… н’б Џѕѕ ”я«д √г—ня«њ,0
√нд  г  ‘ннЏ ћЋг«д гЌгжѕ ѕ—жн‘њ,Ён √н гѕнд… ‘нЏ ћЋг«д гЌгжѕ ѕ—жн‘њ,1
г« еж «бгЁежг «б‘«гб б яджбжћн« «б Џбнгњ,Џбм г«–« н‘гб гЁежг  яджбжћн« «б Џбнгњ,1
янЁ «÷гд дћ«Ќ ћгЏн н њ,янЁ «÷гд «” г—«— ћгЏн н «бќн—н… њ,1
янЁ «Ќ÷— ”жн”—жб »«бЁ«днб« њ,гд Ў—ё  Ќ÷н— ”жн”—жб  њ,0
Ён √н Џ«г жёЏ  џ“ж… »ндн ”бнгњ,√нд жёЏ  џ“ж… »дн ”бнгњ,0
г«ен бџ… «б»ж”д… ж«бе—”яњ,г« ен «ббџ… «бг ѕ«жб… Ён «б»ж”д… ж«бе—”яњ,1
г« Ў—нё…  Ќ÷н— я» яня «б»— ё«б »ѕжд »н÷њ,гд Ў—ё  Ќ÷н— я» яня «б»— ё«б »ѕжд »н÷ њ,1
г« ен «дж«Џ «б»—’њ,г« ен «дж«Џ «б»е«ёњ,0
г« ен «бд”»… «бг∆жн… б≈д ‘«— «бг”нЌн… Ён ћ“н—… Ёнћнњ,яг  »бџ д”»… «д ‘«— «б≈”б«г Ён ћ“н—… Ёнћнњ,0
г«–« дё’ѕ »«б÷н«Ё… «бћжн… њ,г« ен «б÷н«Ё… њ,0
яг н’б Џѕѕ «бЏ—» ж«б»—»— «бгжћжѕнд Ён бн»н«њ,яг д”»… «б”я«д «бЏ—» ж«б»—»— Ён бн»н«њ,1
г« еж дў«г «б ‘џнб ”нг»н«дњ,г« «бгё’жѕ »дў«г ”нг»н«дњ,1
г м  г  ‘ннѕ г ЌЁ «б√—гн «ћњ,г«–« нжћѕ Ён «бё”г «бџ—»н Ён —ж”н«њ,0
г« ен «б«’жб «бг ѕ«жб…њ,г« ен «”«”н«  «б«’жб њ,0
г« ен «бѕн«д… «б—”гн… Ён днж“бдѕ«њ,г« ен «б”н«ѕ… «б н   »Џе« ћ“н—… днж“бдѕ«њ,0
г« еж «б«”г «б—”гн бг’—њ,г« «”г г’— «б—”гнњ,1
янЁ нгяд «” —ћ«Џ дў«г  ‘џнб ће«“ «б√дѕ—жнѕњ,г« ен ггн“«  дў«г «б√дѕ—жнѕњ,0
янЁ «Ќ÷— «бѕћ«ћ »«бяндж«њ,гд Ў—ё  Ќ÷н— «бѕћ«ћ »«бяндж«њ,1
еб ббж—«Ћ… ѕж— Ён ўеж— «бдг‘њ,г« еж «бдг‘њ,0
гд Ў—ё  Ќ÷н— гЌ‘н «бћ“— «б√Ќг—њ,гд Ў—ё  Ќ÷н— гЌ‘н «бћ“—  њ,0
гд ен «б«’жб њ,г«–« дё’ѕ »«’жб «б‘—я… њ,0
г« Ў—нё…  Ќ÷н—»”яжн  »«бг«—‘гнбжњ,гд Ў—ё  Ќ÷н— »”яжн  »«бг«—‘гнбжњ,1
янЁ «Ќ÷— џ—« «д «б»Ў«Ў« »«бѕћ«ћњ,гд Ў—ё  Ќ÷н— «бѕћ«ћњ,0
г« ен «бг—«”б«   «б—”гн… «бќ«—ћн…њ,г« ен «дж«Џ «бг—«”б«  «б«ѕ«—н… њ,0
г« ен г”«Ќ… гѕџ‘ё— «б≈ћг«бн…њ,г« г”«Ќ… гѕџ‘ё—њ,1
г« Ў—нё…  Ќ÷н— «б‘шн‘ Ў«жжёњ,гд Ў—ё  Ќ÷н— «б‘шн‘ Ў«жжёњ,1
Ён √н Џ«г ўе—  «бѕжб… «б”Џжѕн… «бЋ«бЋ…њ,г м ўе—  «бѕжб… «б”Џжѕн… «бЋ«дн…њ,0
г« Џ«’г… «б»— џ«бњ,г« ен «бЏ«’г… «б»— џ«бн…њ,1
Ён √н ”д… ўе—   ёдн… «бгЏбжг« њ,г« ен  ёдн… «бгЏбжг« њ,0
яг Ў«»ё ббн«ё… «б»ѕдн… гжћжѕ Ён »—ћ ќбнЁ…њ,яг Џѕѕ «бгя« » Ён »—ћ ЌбнЁ…њ,0
г« гЏдм «б‘Џ—њ,г« √егн… «б‘Џ—њ,0
янЁ «Ќ÷— —жб «б—е‘ »«бя«я«жњ,гд Ў—ё  Ќ÷н— —жб  «бя«я«жњ,0
г«  Џ—нЁ «б—√”г«бнш… «б ћ«—н…њ,г«–« дё’ѕ »«б—√”г«бнш…њ,0
г м  г «Ё  «Ќ ѕ«— «б√ж»—«њ,г« Џѕѕ «б√ё”«г «бгжћжѕ… Ён ѕ«— «б√ж»—« «б»—нЎ«днњ,0
янЁ «Ќ÷— «бяня… «бЌб“ждн… «б»”нЎ… њ,гд Ў—ё  Ќ÷н— «бяня… «бЌб“ждн… «б»”нЎ… њ,1
гд еж гя ‘Ё г« ‘ж »н ‘жњ,г м  г »д«Ѕ г« ‘ж »н ‘жњ,0
г« еж «бЋ«бжбњ,г« ен «бЋ¬бнбњ,1
янЁ я«д «б ’жн— Ён Џеѕ √—”Ўжњ,г« «”г «жб ‘—я… бб ’жн—њ,0
г м Ќ’б »—ћ  «»н Џбм ‘е«ѕ… бнѕ ббг»«дн «бќ÷—«Ѕњ,г« «”г √Ўжб «бг»«дн «бќ÷—«Ѕ Џ«бгн«рњ,0
г« гЏдм г «»Џ… «б‘яжм «б≈ѕ«—нш…њ,г« гЏдм «б‘яжм «б«ѕ«—н…њ,0
г м «Ќ б  Ё—д”« ћ“— «бёг— »‘яб я«гбњ,г м  г ≈д‘«Ѕ гћб” ж“—«Ѕ Ќяжгн бћ“— «бёг—њ,0
г« Ё«∆ѕ… «б ”жё Џ»—  «б«д —д њ,г«–« дё’ѕ »«б ”жё Џ»— «б≈д —д њ,0
г« «”г √жб ће«“ ќбжн  г «ќ —«Џењ,г« еж «бће«“ «бќбжн «б√жб «б–н  г «ќ —«Џењ,1
янЁ «Џгб Ё‘«— »«бя«—«гнб »«б”я— «б«»н÷ њ,гд Ёж«∆ѕ «бЁ‘«— њ,0
г« ен √ѕжн… «б»е«ёњњ,г« ен «ѕжн… «б»—’њ,0
г« Ё«∆ѕ… «бб»д бб»‘—…њ,еб нЁнѕ «бб»д »‘— нњ,1
г« Ў—нё…  Ќ÷н— «б‘я‘жя… Џбм «бЎш—нё… «бг’—нш…  њ,янЁ «Ќ÷— «б‘я‘жя… Џбм «бЎш—нё… «бг’—нш… њ,1
янЁ  яжд «бж÷Џн… «бгд«”»… бгг«—”…  г«—нд «б÷џЎњ,г« ен «бж÷Џн… «б√д”» бгг«—”…  г«—нд «б÷џЎњ,1
г м  г «б«д е«Ѕ гд »д«Ѕ  «ћ гЌбњ,г« еж «”г  «ћ гЌб «бЌёнёнњ,0
Ён √н ”д…  г «ќ —«Џ ће«“ «б Ќяг Џд »Џѕњ,гд «ќ —Џ ће«“ «б Ќяг Џд »Џѕњ,0
г« Ў—нё…  Ќ÷н— «б»н “« «б≈нЎ«бнш… њ,гд Ў—ё  Ќ÷н— «б»н “« «б≈нЎ«бнш…њ,1
гд еж «бЏ«бг «б–н «ќ —Џ «бе« Ё «б√—÷нњ,г« ггн“«  «бе« Ё «б√—÷нњ,0
гд Ў—ё  Ќ÷н— ЁЎн—… «бг‘г‘ ж«б‘жяжб« … њ,гд Ў—ё  Ќ÷н— ЁЎн—… «бг‘г‘ њ,0
яг  »бџ д”»… «б»ж–ннд Ён «б’ндњ,г« ен д”»… «бб«ѕндннд Ён «б’ндњ,0
≈бм г«–« нЏжѕ ”»»  ”гн… гж”яжњ,г« ен «ббџ… «б—”гн… Ён гж”яжњ,0
г«  √Ћн— «бећ—… гд д«Ќн… ”н«”н… њ,г« ен «бећ—… њ,0
√—нѕ ж’Ё… б ’Ён… жћенњ,Ёж«∆ѕ “н  «б”г”г бб»‘—…,0
г« Ў—нё…  Ќ÷н— яня… «бћбн »«бЁ—«жб… ж«бЁж«яе њ,гд Ў—ё  Ќ÷н— яня… «бћбн »«бЁ—«жб… ж«бЁж«я…њ,1
г м  “жћ «б—”жб ќѕнћ…њ,яг я«д Џг— ќѕнћ… Џдѕг«  “жћ  «б—”жбњ,0
г« Џѕѕ «бгё«ЎЏ«  «бгжћжѕ… Ён «б’ндњ,г« ен «бѕжб «б н  ‘«—я «б’нд Ён «бЌѕжѕћ «б»—н…њ,0
Ён √н гя«д нЏн‘ «б÷ЁѕЏњ,√нд н÷Џ «б÷ЁѕЏ »н÷ењ,0
янЁ √хдЏшг ‘Џ—н »“»ѕ… «б‘н«њ,г« Ў—нё… «” ќѕ«г “»ѕ… «б‘н« ббжћењ,0
г« Ў—нё…  Ќ÷н— «бё—д»нЎ »«ббшЌг… «бгЁ—жг…  њ,гд Ў—ё  Ќ÷н— «бё—д»нЎњ,0
г« Џѕѕ «б√ё”«г «бгжћжѕ… Ён ѕ«— «б√ж»—« «б»—нЎ«днњ,г« ен √”г«Ѕ «б√ё”г Ён ѕ«— «б√ж»—«њ,0
»√н ‘Џ—  гнш“ Џд —… »д ‘ѕш«ѕњ,»√н ‘Џ—  гнш“ Џд —… »д ‘ѕш«ѕњ,1
г« ен √ег «бЁн «гнд«  «б н  Ќ «ће« «бЌ«гбњ,г« ен Ён «гнд«  «бЌгбњ,0
янЁ «Ќ÷— «б»ё”г«Ў «бгё—г‘њ,гд Ў—ё  Ќ÷н— »ё”г«Ў  Ќбж…њ,0
г м н»ѕ√ ‘яб «б‘—џжЁ »«б џн—њ,янЁ няжд ћбѕ «б÷ЁѕЏњ,0
√нд ўе—  ¬б«   ’жн— «бЎ«∆—« њ,Ён √н »бѕ ўе—  ¬б«   ’жн— «бЎ«∆—« њ,1
г« ен «Џ—«÷ ян” «б‘Џ—њ,г« ен «Џ—«÷ «бян” «бѕеднњ,0
г« «”г «бћ»б «б–н нёЏ Џдѕе  гЋ«б «бг”нЌ «бЁ«ѕнњ,г м »дн  гЋ«б «бг”нЌ «бЁ«ѕнњ,0
г« ен «‘е— «бѕжб Ён ’д«Џ… «б»ќж— њ,гд «‘е— ѕжб ’д«Џ… «б»ќж— њ,1
Ён √н Џ«г  г «ќ —«Џ √жб —ћб ¬бнњ,г м  г «ќ —«Џ √жб —ћб ¬бнњ,1
г« ен √Џ—«÷ «бЌгб »Џѕ Ћ»ж ењ,г« ен √Џ—«÷ «бЌгб Ён «б‘е— 4њ,0
гд Ў—ё  Ќ÷н— »н “« «б”бгждњ,гд Ў—ё  Ќ÷н—  «б”бгждњ,0
г« «б–н ”«ег Ён »д«Ѕ «бгћ гЏ «б”я«дн «б√жб Ён ћ“н—… Ёнћнњ,г« ен √Џбм ёг… Ён ћ“н—… Ёнћнњ,0
гд Ў—ё  Ќ÷н—  яЏ» «бџ“«б »«б г—њ,гд Ў—ё  Ќ÷н— «б г—њ,0
г« «егн… «бЌѕнѕ ббг—√… «бЌ«гбњ,бг«–« «бЌѕнѕ гег ббг—√… «бЌ«гбњ,1
г« Ў—нё…  Ќ÷н— ќ÷«— ”ж не гЏ «бѕћ«ћњ,янЁ «Ќ÷— ќ÷«— ”ж не гЏ «бѕћ«ћњ,1
г« гЏдм «бЌ«ћ… бџ…њ,г« «бЌ«ћ… бџ…њ,1
янЁ √Ћ—  Џ«∆б…  жЁнё «бЌянг Џбм ‘ќ’н е ж√Џг«бењ,г м  жЁн  жЁнё «бЌянгњ,0
г« «”г √ег г ЌЁ гќ’’ бб√ЎЁ«б Ён «бЏ«бгњ,яг н»бџ Џѕѕ «ббЏ» Ён г ЌЁ «бЎЁжб… Ён »—нЎ«дн«њ,0
г м Ў»Џ  «бдёжѕ њ,г« еж г»ѕ√ «бдёжѕ њ,0
г«еж «бяжбн” —жбњ,г«  Џ—нЁ «бяжбн” —жбњ,1
яг  »бџ д”»… «б»Ў«б… бгд ег »нд 15-24 Ён гѕџ‘ё—њ,г« д”»… «бг Џбгнд Ён гѕџ‘ё—њ,0
гд ”б»н«  «бќ‘«Ё њ,г« Ў—нё… Џгб «бќ‘«Ё њ,0
г« ен Џ«’г… «бд—жнћњ,г« «”г Џ«’г… «бћ»б «б√”жѕњ,0
г« еж √ег ёЎ«Џ Ён гѕџ‘ё—њ,гд еж «бёЎ«Џ «б√ег Ён гѕџ‘ё—њ,1
